dProofs1.txt:2                          3 COp                 2:CO0
dProofs13.txt:21                        3 Cpp                 DDDD1D11D1112:C0.0
dProofs11.txt:15                        5 CpCOp               DDDD11D1112:C0CO0 [instance of CpCqp]
dProofs15.txt:31                        5 CpCqp               DDD11DDD1D11111:C0C1.0
dProofs17.txt:42                        5 CpCOq               DDDD11DDD1D111112:C0CO1
dProofs19.txt:64                        5 CpCqq               DDDD1D1111DDD1D1111:C0C1.1
dProofs11.txt:12                        7 CCpqCqq             DDD1D11D111:CC0.1C1.1 [instance of CpCqq]
dProofs13.txt:13                        7 CpCqCrq             DD11DDD1D1111:C0C1C2.1
dProofs19.txt:52                        7 CpCqCrr             DD1D1D1DDD1D1111D11:C0C1C2.2
dProofs19.txt:68                        7 CpCqCOr             DDDDDD1D1D111112D11:C0C1CO2
dProofs21.txt:95                        7 CpCqCrp             DDDD1D1D1111DDD1D1111:C0C1C2.0
dProofs31.txt:524                       7 CCCpqpp             DDD1DDD1D1DDD1D111111DDD1D11111:CCC0.1.0.0
dProofs31.txt:528                       7 CCCpqOp             DDDD1DDD1D1DDDD1D1D11111D111112:CCC0.1O0
dProofs35.txt:1049                      7 CCCppqq             DDD1DDD1D1DDD1D111111D1DDD1D11D1111:CCC0.0.1.1
dProofs41.txt:2965                      7 CCCOpqq             DDD1DDD1D1DDD1D111111D1DDDD11DDD1D1111121:CCCO0.1.1
dProofs51.txt:16649                     7 CCCOpOq             DDD1DDDD1DDD1DDD1D1D1DDDD1D1D1111111DDD1D1111111221:CCCO0O1
dProofs55.txt:33756                     7 CCCppOq             DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DDD1D11D111112:CCC0.0O1
dProofs59.txt:66814                     7 CpCCpqq             DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDD1D1DDD1D1111111:C0CC0.1.1
dProofs91-unfiltered85+.txt:597049945   7 CCpOCpq             DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1D111111112:CC0OC0.1
dProofs9.txt:5                          9 CpCCqrCrr           DD1D11D11:C0CC1.2C2.2 [instance of CpCqCrr]
dProofs9.txt:7                          9 CCpqCqCpq           DDD11D111:CC0.1C1C0.1 [instance of CpCqp]
dProofs9.txt:8                          9 CCCpqpCrp           DDD1D1111:CCC0.1.0C2.0
dProofs13.txt:9                         9 CCCppqCrq           D1DDD1D11D111:CCC0.0.1C2.1
dProofs13.txt:17                        9 CpCqCrCsr           DD1DD1D111D11:C0C1C2C3.2
dProofs15.txt:30                        9 CpCCqrCqr           DD1DDD1D1111D11:C0CC1.2C1.2 [instance of CpCqq]
dProofs19.txt:39                        9 CCCOpqCrq           D1DDDD11DDD1D111112:CCCO0.1C2.1
dProofs19.txt:55                        9 CpCqCrCss           DD1DD1D111D1DD1D111:C0C1C2C3.3
dProofs19.txt:62                        9 CCCpqrCqr           DDD1D1D1DDD1D111111:CCC0.1.2C1.2
dProofs19.txt:65                        9 CpCCqpCrp           DDDD1D1DDD1D1111111:C0CC1.0C2.0 [instance of CpCqCrp]
dProofs21.txt:79                        9 CpCqCrCsq           DD1DD1D111DDD1D1D1111:C0C1C2C3.1
dProofs21.txt:96                        9 CpCCpqCrq           DDDD1D1D1DDD1D1111111:C0CC0.1C2.1
dProofs23.txt:115                       9 CpCqCrCOs           DD1D1DDDDD1D1D111112D11:C0C1C2CO3
dProofs29.txt:369                       9 CpCCCqrqq           DD1DDD1D1DDD1D111111DDD1D1111:C0CCC1.2.1.1
dProofs33.txt:733                       9 CpCCCqqrr           DD1DDD1D1DDD1D111111D1DDD1D11D111:C0CCC1.1.2.2
dProofs33.txt:748                       9 CCCpCqpqq           DDD1DDD1D1DDD1D111111D1DDD11D1111:CCC0C1.0.1.1 [instance of CCCpCqprr]
dProofs35.txt:1052                      9 CCCOCpqpp           DDD1DDD1D1DDD1D111111D1DDDD11D11121:CCCOC0.1.0.0 [instance of CCCOpqq]
dProofs35.txt:1056                      9 CpCqCrCsp           DDDD1D1D1DDD1D1111DDDD1D1D111111D11:C0C1C2C3.0
dProofs37.txt:1483                      9 CCCpCqprr           DDD1DDD1D1DDD1D111111D1DD11DDD1D11111:CCC0C1.0.2.2
dProofs37.txt:1493                      9 CCCpCOqrr           DDD1DDD1D1DDD1D111111DDDDD1D1D1111121:CCC0CO1.2.2
dProofs39.txt:2049                      9 CpCCCOqrr           DD1DDD1D1DDD1D111111D1DDDD11DDD1D111112:C0CCCO1.2.2
dProofs39.txt:2096                      9 CCCpCqrqq           DDD1DDD1D1DDD1D111111D1DDD11DDD1D111111:CCC0C1.2.1.1
dProofs43.txt:4156                      9 CCCpCqqrr           DDD1DDD1D1DDD1D111111D1DD1D1D1DDD1D1111D111:CCC0C1.1.2.2
dProofs47.txt:8344                      9 CpCCCqrOq           DDDD11DDD1D11111DDDD1DDD1D1DDDD1D1D11111D111112:C0CCC1.2O1
dProofs49.txt:11578                     9 CpCCCOqOr           DD1DDDD1DDD1DDD1D1D1DDDD1D1D1111111DDD1D111111122:C0CCCO1O2
dProofs49.txt:11797                     9 CCpCpqCpq           DDD1DDD1D1DDD1D111111DDD1DDD1D11DDDD1D1D111111111:CC0C0.1C0.1
dProofs53.txt:23908                     9 CCCpCOpOq           DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DDD11D111112:CCC0CO0O1 [instance of CCCpCqpOr]
dProofs55.txt:33321                     9 CCCpqOCrp           DDD1DDDDDD1D1D1D1DDDD1D1D1111111111D1DDDD11DDD1D1111121:CCC0.1OC2.0
dProofs57.txt:46198                     9 CpCqCCqrr           DD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDD1D1DDD1D111111:C0C1CC1.2.2
dProofs57.txt:48022                     9 CCCpCqpOr           DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DD11DDD1D1111112:CCC0C1.0O2
dProofs57.txt:48053                     9 CCCpCOqOr           DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDDDD1D1D111112112:CCC0CO1O2
