dProofs21.txt:93                        3 Cpp                   DDDDD1D1111DDD1D11111:C0.0
dProofs15.txt:29                        5 CpCqp                 DDD11DDD1D11111:C0C1.0
dProofs19.txt:61                        5 CpCqq                 DDDD1D1111DDD1D1111:C0C1.1
dProofs11.txt:12                        7 CCpqCqq               DDD1D11D111:CC0.1C1.1 [instance of CpCqq]
dProofs13.txt:12                        7 CpCqCrq               DD11DDD1D1111:C0C1C2.1
dProofs17.txt:39                        7 CCpqCpq               DDD1DDD1D1111D111:CC0.1C0.1 [instance of Cpp]
dProofs19.txt:49                        7 CpCqCrr               DD1D1D1DDD1D1111D11:C0C1C2.2
dProofs21.txt:91                        7 CpCqCrp               DDDD1D1D1111DDD1D1111:C0C1C2.0
dProofs31.txt:510                       7 CCCpqpp               DDD1DDD1D1DDD1D111111DDD1D11111:CCC0.1.0.0
dProofs35.txt:1019                      7 CCCppqq               DDD1DDD1D1DDD1D111111D1DDD1D11D1111:CCC0.0.1.1
dProofs59.txt:64737                     7 CpCCpqq               DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDD1D1DDD1D1111111:C0CC0.1.1
dProofs9.txt:5                          9 CpCCqrCrr             DD1D11D11:C0CC1.2C2.2 [instance of CpCqCrr]
dProofs9.txt:7                          9 CCpqCqCpq             DDD11D111:CC0.1C1C0.1 [instance of CpCqp]
dProofs9.txt:8                          9 CCCpqpCrp             DDD1D1111:CCC0.1.0C2.0
dProofs13.txt:9                         9 CCCppqCrq             D1DDD1D11D111:CCC0.0.1C2.1
dProofs13.txt:16                        9 CpCqCrCsr             DD1DD1D111D11:C0C1C2C3.2
dProofs15.txt:28                        9 CpCCqrCqr             DD1DDD1D1111D11:C0CC1.2C1.2 [instance of CpCqq]
dProofs19.txt:52                        9 CpCqCrCss             DD1DD1D111D1DD1D111:C0C1C2C3.3
dProofs19.txt:59                        9 CCCpqrCqr             DDD1D1D1DDD1D111111:CCC0.1.2C1.2
dProofs19.txt:62                        9 CpCCqpCrp             DDDD1D1DDD1D1111111:C0CC1.0C2.0 [instance of CpCqCrp]
dProofs21.txt:76                        9 CpCqCrCsq             DD1DD1D111DDD1D1D1111:C0C1C2C3.1
dProofs21.txt:92                        9 CpCCpqCrq             DDDD1D1D1DDD1D1111111:C0CC0.1C2.1
dProofs29.txt:354                       9 CpCCCqrqq             DD1DDD1D1DDD1D111111DDD1D1111:C0CCC1.2.1.1
dProofs33.txt:710                       9 CpCCCqqrr             DD1DDD1D1DDD1D111111D1DDD1D11D111:C0CCC1.1.2.2
dProofs33.txt:724                       9 CCCpCqpqq             DDD1DDD1D1DDD1D111111D1DDD11D1111:CCC0C1.0.1.1 [instance of CCCpCqprr]
dProofs35.txt:1025                      9 CpCqCrCsp             DDDD1D1D1DDD1D1111DDDD1D1D111111D11:C0C1C2C3.0
dProofs37.txt:1436                      9 CCCpCqprr             DDD1DDD1D1DDD1D111111D1DD11DDD1D11111:CCC0C1.0.2.2
dProofs39.txt:2036                      9 CCCpCqrqq             DDD1DDD1D1DDD1D111111D1DDD11DDD1D111111:CCC0C1.2.1.1
dProofs43.txt:4040                      9 CCCpCqqrr             DDD1DDD1D1DDD1D111111D1DD1D1D1DDD1D1111D111:CCC0C1.1.2.2
dProofs49.txt:11427                     9 CCpCpqCpq             DDD1DDD1D1DDD1D111111DDD1DDD1D11DDDD1D1D111111111:CC0C0.1C0.1
dProofs57.txt:44722                     9 CpCqCCqrr             DD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDD1D1DDD1D111111:C0C1CC1.2.2
dProofs65.txt:185897                    9 CpCqCCprr             DDDD1D1D1DDDD1D1D1D1DDDD1D1D1DDD1D111111111111D1DDD1D1DDD1D111111:C0C1CC0.2.2
